Year,Canada,Mexico,US
1960,1.358695652,4.927518869,1.457975986
1961,1.018766756,1.608759691,1.070724148
1962,1.061571125,1.198984178,1.198773348
1963,1.628151261,0.594055008,1.239669421
1964,1.912144703,2.337903172,1.278911565
1965,2.332657201,3.568038657,1.585169264
1966,3.815659068,4.215788377,3.015075377
1967,3.579952267,3.016948475,2.772785623
1968,4.055299539,2.333950935,4.271796153
1969,4.561558902,3.367003367,5.4623862
1970,3.346039814,5.003412055,5.838255338
1971,2.704918033,5.469028994,4.292766688
1972,4.988028731,4.943692364,3.272278247
1973,7.487647282,12.08193946,6.177760064
1974,10.99717115,23.78401544,11.0548048
1975,10.6721886,14.94453464,9.143146865
1976,7.54173863,15.82472249,5.744812635
1977,7.976445396,29.06412471,6.501683995
1978,8.973723352,17.45729257,7.630963839
1979,9.144676979,18.1912463,11.25447113
1980,10.12922051,26.35165136,13.54920197
1981,12.47161241,27.9337626,10.33471534
1982,10.7689719,58.91341985,6.131427
1983,5.86358803,101.8749384,3.212435233
1984,4.304778304,65.44880713,4.300535475
1985,3.962030541,57.7484484,3.545644152
1986,4.194786291,86.23331699,1.898047722
1987,4.356108712,131.8273839,3.664563218
1988,4.028234149,114.1622585,4.077741107
1989,4.9836219,20.00787671,4.82700303
1990,4.780476933,26.65167256,5.39795644
1991,5.625864086,22.66235946,4.234963965
1992,1.490132904,15.50789625,3.028819678
1993,1.865079365,9.751460454,2.951656966
1994,0.165562914,6.965812372,2.607441592
1995,2.148760331,34.99927129,2.805419689
1996,1.570531125,34.37838322,2.9312042
1997,1.621216381,20.62562873,2.337689937
1998,0.995942457,15.92839501,1.552279099
1999,1.734842951,16.58561697,2.188027197
2000,2.719439957,9.491561494,3.376857271
2001,2.52512014,6.367738062,2.826171119
2002,2.258394409,5.030727332,1.586031627
2003,2.758563214,4.546900121,2.270094973
2004,1.857258719,4.688408848,2.677236693
2005,2.213552034,3.988057146,3.392746845
2006,2.002025395,3.629467624,3.225944101
2007,2.138383993,3.966849055,2.852672482
2008,2.370270674,5.124982746,3.839100297
2009,0.299466803,5.297355842,-0.355546266
2010,1.776871541,4.156727227,1.640043442
2011,2.912135089,3.407378246,3.156841569
2012,1.515678231,4.111509811,2.069337265
2013,0.938291898,3.806390697,1.464832656
2014,1.906635907,4.018616081,1.622222977
2015,1.125241361,2.72064065,0.118627136
2016,1.428759547,2.821707847,1.261583206
2017,1.596884129,6.04145724,2.130110004
2018,2.268225672,4.899350154,2.442583297
2019,1.949269024,3.635961421,1.812210075
2020,0.716999632,3.396834156,1.233584396
2021,3.395193185,5.689208477,4.697858864
2022,6.802801153,7.896276192,8.002799821
